title,subtitle,authors,categories,published_year,average_rating,num_pages,ratings_count
Gilead,,Marilynne Robinson,Fiction,2004.0,3.85,247.0,361.0
Spider's Web,A Novel,Charles Osborne;Agatha Christie,Detective and mystery stories,2000.0,3.83,241.0,5164.0
The One Tree,,Stephen R. Donaldson,American fiction,1982.0,3.97,479.0,172.0
Rage of angels,,Sidney Sheldon,Fiction,1993.0,3.93,512.0,29532.0
The Four Loves,,Clive Staples Lewis,Christian life,2002.0,4.15,170.0,33684.0
The Problem of Pain,,Clive Staples Lewis,Christian life,2002.0,4.09,176.0,37569.0
An Autobiography,,Agatha Christie,"Authors, English",1977.0,4.27,560.0,3975.0
Empires of the Monsoon,A History of the Indian Ocean and Its Invaders,Richard Hall,"Africa, East",1998.0,4.41,608.0,65.0
The Gap Into Madness,Chaos and Order,Stephen R. Donaldson,"Hyland, Morn (Fictitious character)",1994.0,4.15,743.0,103.0
Master of the Game,,Sidney Sheldon,Adventure stories,1982.0,4.11,489.0,43540.0
If Tomorrow Comes,,Sidney Sheldon,Adventure stories,1994.0,4.04,501.0,49170.0
Assassin's Apprentice,,Robin Hobb,American fiction,1996.0,4.15,460.0,133972.0
Warhost of Vastmark,,Janny Wurts,Fiction,1995.0,4.03,522.0,2966.0
The Once and Future King,,Terence Hanbury White,Arthurian romances,1996.0,4.04,823.0,2805.0
Murder in LaMut,,Raymond E. Feist;Joel Rosenberg,Adventure stories,2003.0,3.7,337.0,5083.0
Jimmy the Hand,,Raymond E. Feist;S. M. Stirling,Fantasy fiction,2003.0,3.95,368.0,5579.0
Well of Darkness,,Margaret Weis;Tracy Hickman,,2001.0,3.66,599.0,68.0
Witness for the Prosecution & Selected Plays,,Agatha Christie,English drama,1995.0,4.05,352.0,3908.0
The Little House,,Philippa Gregory,Country life,1998.0,3.66,368.0,1832.0
Mystical Paths,,Susan Howatch,English fiction,1996.0,4.23,576.0,1023.0
Glittering Images,,Susan Howatch,English fiction,1996.0,4.07,512.0,2045.0
Glamorous Powers,,Susan Howatch,Clergy,1996.0,4.2,512.0,1441.0
The Mad Ship,,Robin Hobb,Fantasy fiction,2000.0,4.24,906.0,36101.0
Post Captain,,Patrick O'Brian,"Aubrey, Jack (Fictitious character)",1996.0,4.29,474.0,7815.0
The Reverse of the Medal,,Patrick O'Brian,Adventure stories,1997.0,4.41,261.0,177.0
Miss Marple,The Complete Short Stories,Agatha Christie,"Detective and mystery stories, English",1997.0,4.2,359.0,6235.0
The Years of Rice and Salt,,Kim Stanley Robinson,Black Death,2003.0,3.73,772.0,194.0
Spares,,Michael Marshall Smith,Human cloning,1998.0,4.13,317.0,2481.0
Gravity,,Tess Gerritsen,Science fiction,2004.0,4.04,342.0,8024.0
The Wise Woman,,Philippa Gregory,Great Britain,2002.0,3.31,640.0,6583.0
Girls' Night in,,Jessica Adams;Chris Manby;Fiona Walker,American fiction,2000.0,3.26,586.0,140.0
The White Album,,Joan Didion,American essays,1993.0,4.17,224.0,91.0
The Bonesetter's Daughter,,Amy Tan,China,2001.0,3.98,352.0,414.0
The Lexus and the Olive Tree,,Thomas L. Friedman,Capitalism,2000.0,3.59,352.0,87.0
'Tis,A Memoir,Frank McCourt,Ireland,2000.0,3.68,495.0,44179.0
Ocean Star Express,,Mark Haddon;Peter Sutton,Juvenile Fiction,2002.0,3.5,32.0,1.0
A Small Pinch of Weather,And Other Stories,Joan Aiken,"Children's stories, English",2000.0,4.27,239.0,116.0
The Princess of the Chalet School,,Elinor Mary Brent-Dyer,Juvenile Fiction,2000.0,4.1,159.0,446.0
Koko,,Peter Straub,Male friendship,2001.0,3.56,634.0,7586.0
Tree and Leaf,The Homecoming of Beorhtnoth : Beorhthelm's Son,John Ronald Reuel Tolkien,Literary Collections,2001.0,4.09,176.0,2245.0
Partners in Crime,,Agatha Christie,"Beresford, Tommy (Fictitious character)",2001.0,3.77,347.0,9506.0
Murder in Mesopotamia,,Agatha Christie,Detective and mystery stories,2001.0,3.89,264.0,25692.0
"The Lord of the Rings, the Return of the King",Visual Companion,Jude Fisher,Imaginary wars and battles,2003.0,4.59,72.0,22.0
All Families are Psychotic,,Douglas Coupland,Dysfunctional families,2002.0,3.69,279.0,350.0
Death in the Clouds,,Agatha Christie,Detective and mystery stories,2001.0,3.8,333.0,21123.0
Appointment with Death,,Agatha Christie,Detective and mystery stories,2001.0,3.86,303.0,24859.0
Hallowe'en Party,,Agatha Christie,"Poirot, Hercule (Fictitious character)",2001.0,3.66,336.0,18820.0
Hercule Poirot's Christmas,,Agatha Christie,Christmas stories,2001.0,3.93,335.0,23113.0
The Big Four,,Agatha Christie,Detective and mystery stories,2002.0,3.59,272.0,22155.0
The Thirteen Problems,,Agatha Christie,"Detective and mystery stories, English",2002.0,3.89,315.0,12840.0
They Do it with Mirrors,,Agatha Christie,American fiction,2002.0,3.75,284.0,415.0
A Murder is Announced,,Agatha Christie,"Detective and mystery stories, English",2002.0,3.98,382.0,680.0
The Mirror Crack'd from Side to Side,,Agatha Christie,"Marple, Jane (Fictitious character)",2002.0,3.91,351.0,23249.0
Mrs McGinty's Dead,,Agatha Christie,Belgians,2002.0,3.83,328.0,525.0
Taken at the Flood,,Agatha Christie,Fiction,2002.0,3.71,352.0,8852.0
The Hollow,,Agatha Christie,Detective and mystery stories,2002.0,3.79,384.0,13022.0
Third Girl,,Agatha Christie,Belgians,2002.0,3.62,365.0,13705.0
